# The corpus password sidecar.
#
# Thirty-six corpus files are encryption tests, and `tpdf` tries the empty
# password and nothing else -- which is right for a tool and wrong for a
# census. Without this file those thirty-six are abstentions inside a pass
# rate: counted as failures, attributed in docs/verification.md, and measuring
# nothing about the engine. With it, thirty-four of them are measurements.
#
# Every password here is STATED UPSTREAM and the fourth column says where.
# Ruling 13 forbids an outside program adjudicating a document; reading a test
# script for an INPUT is not that, and a password is an input. Two rows are
# marked `derived` because no upstream file names them -- they were found by
# trying what their siblings use, and the word `derived` is there so nobody
# reads them later as quotations.
#
# Format: corpus <TAB> path <TAB> password <TAB> source. The separator is a tab
# because eight of these passwords contain spaces. Fields are not trimmed. `#`
# starts a comment; blank lines are skipped. The file is UTF-8 and three
# passwords are not ASCII.
#
# `path` is what the report records: relative to the corpus's own files
# directory, with forward slashes.
#
# TWO OF THE THIRTY-SIX ARE NOT HERE, and neither is a password:
#
#   qpdf/bad-encryption-length.pdf spells the key `/Wength 128`, so `/Length`
#   is absent and 7.6.3.2's default of 40 bits applies. Algorithm 5 over the
#   empty password reproduces the file's own `/U` exactly at sixteen key bytes
#   and not at five, so the file was built at 128. Following the default and
#   refusing is the specification's answer.
#
#   qpdf/issue-147.pdf is ninety-one bytes of fuzzer output from qpdf's own
#   fuzz/ corpus: no header, `/O` and `/U` both empty strings, `/Length 160`.
#   With an empty `/U` there is nothing for any password to authenticate
#   against.
#
# AND ONE ROW NAMES A GAP RATHER THAN CLOSING IT: saslprep-r6.pdf is pdf.js's
# test that a revision 6 password is SASLprep-normalised before it is hashed
# (ISO 32000-2 7.6.4.3.3, RFC 4013). This engine does not do that, so the row
# carries the normalised form and says so. The gap is named in
# docs/features/encryption.md; what this row buys is the rest of the file
# measured, and what it must not buy is a missing feature looking present.
#
# corpus	path	password	source
pdfjs	auth-event-ef-open.pdf	000000	pdf.js test/unit/api_spec.js:1863, updatePassword("000000") for the EFOpen attachment
pdfjs	bug1782186.pdf	Hello	pdf.js test/test_manifest.json, id bug1782186
pdfjs	encrypted-attachment.pdf	000000	pdf.js test/unit/api_spec.js:1920, password: "000000"
pdfjs	issue15893_reduced.pdf	test	pdf.js test/test_manifest.json, id issue15893_reduced
pdfjs	issue21579.pdf	pässwört	pdf.js test/test_manifest.json, id issue21579 (p-a-diaeresis s s w o-diaeresis r t)
pdfjs	issue3371.pdf	ELXRTQWS	pdf.js test/test_manifest.json, id issue3371
pdfjs	issue6010_1.pdf	abc	pdf.js test/test_manifest.json, id issue6010_1
pdfjs	issue6010_2.pdf	æøå	pdf.js test/test_manifest.json, id issue6010_2 (ae, o-slash, a-ring)
pdfjs	pr6531_1.pdf	asdfasdf	pdf.js test/unit/api_spec.js:458, "Provide the correct password"
pdfjs	print_protection.pdf	1234	pdf.js test/integration/viewer_spec.mjs:1463, typed into #passwordDialog
pdfjs	saslprep-r6.pdf	SaSLprep	pdf.js test/test_manifest.json states S<U+00AA>SL<U+00AD>prep; this is its SASLprep normalisation, which this engine does not perform (7.6.4.3.3)
qpdf	20-pages.pdf	user	qpdf qtest/check-encryption.test:38, the password file it writes
qpdf	c-r2.pdf	user1	qpdf qtest/encryption.test:381
qpdf	c-r3.pdf	owner2	qpdf qtest/encryption.test:383, the owner password
qpdf	c-r4.pdf	user2	derived: no upstream script names this file; the c-r series numbers its passwords user1, owner2, user3, owner4 by revision, and user2 is the one that opens it
qpdf	c-r5-in.pdf	user3	qpdf qtest/encryption.test:385
qpdf	c-r6-in.pdf	owner4	qpdf qtest/encryption.test:387, the owner password
qpdf	enc-R2,V1,U=view,O=master.pdf	view	the file name's own U=
qpdf	enc-R2,V1,U=view,O=view.pdf	view	the file name's own U=
qpdf	enc-R3,V2,U=view,O=master.pdf	view	the file name's own U=
qpdf	enc-R3,V2,U=view,O=view.pdf	view	the file name's own U=
qpdf	enc-XI-R6,V5,U=attachment,encrypted-attachments.pdf	attachment	the file name's own U=
qpdf	enc-XI-R6,V5,U=view,O=master.pdf	view	the file name's own U=
qpdf	enc-XI-R6,V5,U=view,attachments,cleartext-metadata.pdf	view	the file name's own U=
qpdf	enc-XI-R6,V5,U=wwwww,O=wwwww.pdf	wwwww	the file name's own U=
qpdf	enc-XI-long-password.pdf	qwertyuiopasdfghjklzxcvbnmqwertyuiopasdfghjklzxcvbnmqwertyuiopasdfghjklzxcvbnmqwertyuiopasdfghjklzxcvbnmqwertyuiopasdfghjklzxcvbnm	qpdf qtest/encryption.test:108, the 130-character password the fixture was built with
qpdf	enc-long-password.pdf	asdf asdf asdf asdf asdf asdf qwer	qpdf qtest/encryption.test:90; encryption.test:152 checks that one character short of it fails
qpdf	encrypted-40-bit-R3.pdf	623	qpdf qtest/encryption-parameters.test:82
qpdf	job-json-encrypt-128.pdf	o	qpdf qtest/qpdf/job-json-underlay-overlay-password.json:12
qpdf	job-json-encrypt-40.pdf	o	derived: no upstream file names this one; its 128-bit sibling's `o` opens it
qpdf	nontrivial-crypt-filter.pdf	asdfqwer	qpdf qtest/encryption.test:585
qpdf	pages-copy-encryption.pdf	user	qpdf qtest/merge-and-split.test:58 built it from 20-pages.pdf with --encryption-file-password=user, so it carries that file's parameters
qpdf	short-O-U.pdf	19723102477	qpdf qtest/encryption-parameters.test:70
qpdf	unfilterable-with-crypt.pdf	attachment	qpdf qtest/encryption.test:686
